id,diagnosticList,ecuList,model,moduleId,DunspartNumtraceIdsn,vin,name
Car-DK010000,8453372,8453372,DF91,DK010000,DK100000,12345678901231000,DF91-0
Car-DK010001,8453372,8453372,DF91,DK010001,DK100001,12345678901231001,DF91-1
Car-DK010002,8453372,8453372,DF91,DK010002,DK100002,12345678901231002,DF91-2
Car-DK010003,8453372,8453372,DF91,DK010003,DK100003,12345678901231003,DF91-3
Car-DK010004,8453372,8453372,DF91,DK010004,DK100004,12345678901231004,DF91-4
Car-DK010005,8453372,8453372,DF91,DK010005,DK100005,12345678901231005,DF91-5
Car-DK010006,8453372,8453372,DF91,DK010006,DK100006,12345678901231006,DF91-6
Car-DK010007,8453372,8453372,DF91,DK010007,DK100007,12345678901231007,DF91-7
Car-DK010008,8453372,8453372,DF91,DK010008,DK100008,12345678901231008,DF91-8
Car-DK010009,8453372,8453372,DF91,DK010009,DK100009,12345678901231009,DF91-9
Car-DK010010,8453372,8453372,DF91,DK010010,DK100010,12345678901231010,DF91-10
Car-DK010011,8453372,8453372,DF91,DK010011,DK100011,12345678901231011,DF91-11
Car-DK010012,8453372,8453372,DF91,DK010012,DK100012,12345678901231012,DF91-12
Car-DK010013,8453372,8453372,DF91,DK010013,DK100013,12345678901231013,DF91-13
Car-DK010014,8453372,8453372,DF91,DK010014,DK100014,12345678901231014,DF91-14
Car-DK010015,8453372,8453372,DF91,DK010015,DK100015,12345678901231015,DF91-15
Car-DK010016,8453372,8453372,DF91,DK010016,DK100016,12345678901231016,DF91-16
Car-DK010017,8453372,8453372,DF91,DK010017,DK100017,12345678901231017,DF91-17
Car-DK010018,8453372,8453372,DF91,DK010018,DK100018,12345678901231018,DF91-18
Car-DK010019,8453372,8453372,DF91,DK010019,DK100019,12345678901231019,DF91-19
Car-DK010020,8453372,8453372,DF91,DK010020,DK100020,12345678901231020,DF91-20
Car-DK010021,8453372,8453372,DF91,DK010021,DK100021,12345678901231021,DF91-21
Car-DK010022,8453372,8453372,DF91,DK010022,DK100022,12345678901231022,DF91-22
Car-DK010023,8453372,8453372,DF91,DK010023,DK100023,12345678901231023,DF91-23
